합계출산율,15-19,20-24,25-29,30-34,35-39,40-44,45-49
0.808,0.4,5,27.5,76.1,43.5,7.6,0.2
0.626,0.2,1.8,12.1,57.6,43.9,8.3,0.2
0.728,0.2,3.7,21.4,69.8,41.6,7.2,0.1
0.785,0.5,4,25.6,76.8,41.1,6.3,0.1
0.778,0.7,5.3,27.5,71,42.1,7.7,0.2
0.896,0.6,5,32,86.1,45.2,7.3,0.3
0.81,0.5,5,28.9,76.6,41.9,6.8,0.2
0.94,0.1,5.9,38.5,95.1,39.7,6.6,0.1
1.277,0.2,6.3,54.6,128.1,58.4,8.6,0.1
0.853,0.4,4.9,29,81.2,45.6,7.9,0.2
0.979,0.5,8.5,47,87.2,43.1,7.3,0.2
0.949,0.7,8.4,43,88.4,40.8,6.3,0.2
0.963,0.6,9.8,46.6,86.2,40.8,7,0.2
0.85,0.6,6.9,36.5,75.9,40.3,7.3,0.2
1.017,0.8,9.2,46,92.8,44.5,7.8,0.2
0.966,0.7,7.5,43.5,89.2,42.8,7.6,0.1
0.903,0.4,6.3,38.7,87,39.5,6.5,0.2
0.951,0.2,9,38.3,81.7,47.6,10.7,0.3
